login_hour,failed_attempts,new_device,ip_changed,geo_distance_km,session_duration,label
16,0,0,1,29.479129531988576,27.917367917262425,normal
11,1,0,0,15.423707733894398,32.686913963032914,normal
4,1,0,0,34.08415742224852,28.12814200695429,normal
14,1,0,0,8.07076637371393,48.58860156293004,normal
11,1,0,1,10.615809187569088,45.20212367541492,normal
14,1,0,0,27.471984636015613,26.842001032684916,normal
11,2,0,0,27.513810931225322,35.71757806393686,normal
20,3,0,0,34.72610736362892,30.712469152770492,normal
15,0,0,0,4.149255192081025,32.38418933608025,normal
15,1,0,0,13.990612345330344,38.560860362743355,normal
23,0,0,0,37.98160834435558,31.882788995828193,normal
12,0,0,0,26.034846278483528,35.557148133469134,normal
18,0,0,0,31.886957631365732,48.03085628360822,normal
14,0,0,1,2.568125114206275,27.56096088935772,normal
11,0,0,0,34.697941733309776,37.74723669974193,normal
14,2,0,1,19.631011570308836,17.336166222596443,normal
16,1,0,0,13.765555490791684,23.788871816406235,normal
17,0,0,0,29.769157876391024,38.612585847584796,normal
19,2,0,0,23.36340042786437,30.190340854056362,normal
14,0,0,0,26.4313187878985,24.013661368101104,normal
23,2,0,0,7.9301373728962155,18.603462593266613,normal
13,1,0,0,18.149190845913783,28.986501083724285,normal
13,2,0,0,21.855465182223153,35.67278698833116,normal
20,1,1,0,12.409842879731904,33.17806892865966,normal
20,0,0,0,14.703773758066507,36.43699484784928,normal
10,1,0,0,27.08755853365222,25.606020000354114,normal
15,2,0,0,30.616098889055145,30.23673750954662,normal
14,3,0,0,5.163057971805092,32.007962733903625,normal
10,2,0,0,31.21645827925959,24.68878155339811,normal
14,1,0,0,9.106022069226551,29.912134937560978,normal
13,0,0,0,18.554360920970588,25.612652395832313,normal
11,0,0,0,22.644979702970232,29.772821936806622,normal
12,0,0,0,22.796237620862318,37.229841024553025,normal
13,0,0,0,26.047698849264503,37.9362840119457,normal
6,1,0,0,29.171096431333055,39.54693368253307,normal
19,0,0,0,22.48578882464121,30.935750879727888,normal
15,1,0,0,18.00846365780622,38.643621467451794,normal
15,1,0,1,2.4819866115009113,28.819153409367217,normal
11,0,0,0,5.280722282276054,12.790650216426588,normal
15,0,0,0,7.248226892419991,35.7715438742223,normal
16,2,0,0,16.390868595679297,27.006284460856907,normal
17,3,0,0,2.229812255147216,29.481544077315565,normal
12,0,0,0,11.321456486934595,29.6539292608476,normal
16,3,0,0,30.53302995305634,25.17528350960273,normal
12,0,0,0,0.06197425409852286,34.49956850037618,normal
7,0,0,0,9.270061670846719,36.58529911378448,normal
13,1,0,0,17.809894644004046,32.183230993264324,normal
17,0,0,0,26.29399196497073,19.14609239660028,normal
18,1,0,1,0.0,7.183703022662868,normal
11,1,0,0,20.148461364984996,38.686419962169296,normal
17,2,0,0,1.8583339180749654,19.727665322097344,normal
17,0,0,0,27.40468290739727,28.798964085106178,normal
5,0,0,0,21.385531190070843,33.488214438198355,normal
14,1,0,0,27.330971465174613,38.33031300359557,normal
18,3,0,0,18.406201399516114,9.849514613268202,normal
23,1,0,0,28.31123167049269,20.511370212196717,normal
10,2,0,0,28.442119215845196,26.943088415003654,normal
14,3,1,0,24.12520923454545,35.22349738575434,normal
19,1,0,0,3.0499778038489183,14.7067287011999,normal
16,1,0,0,16.813012540973435,21.67067591669425,normal
6,2,0,0,3.9753106878163713,20.48131035414545,normal
17,3,0,0,15.74634453875806,19.41662778731594,normal
20,1,0,1,13.669807608262795,46.316771295241125,normal
20,2,0,0,10.004465169858243,31.972022877706614,normal
17,2,1,0,13.413602095365366,24.748166382958193,normal
16,2,0,1,31.340552946269757,42.08260450013405,normal
13,1,0,0,23.64575580270801,25.07227868828479,normal
12,0,0,0,36.81247987275336,26.309486456010106,normal
10,3,0,1,22.57715554471723,21.452245884856445,normal
19,1,0,0,15.209551630851678,45.12374006886549,normal
19,0,0,0,32.75083720112005,23.75796277194764,normal
9,2,0,0,22.354056833993436,29.505645794462676,normal
10,1,0,1,36.82047858398095,40.705497004654504,normal
9,2,0,1,17.268868883685986,17.939038396632753,normal
16,0,0,0,2.684256410470347,27.92533194639984,normal
20,0,0,0,10.418500569696924,45.417171610054424,normal
12,0,0,0,22.243340033709725,30.15988497139675,normal
16,1,0,0,12.060729417382628,47.375634521700725,normal
8,0,0,0,15.081066674308895,28.465997763656333,normal
13,0,0,0,23.127890247981366,21.1790203920379,normal
12,1,0,0,0.0,36.24530580226295,normal
10,1,0,0,23.75145123063235,34.44446661874549,normal
14,1,1,0,18.97140017378224,20.854974877915218,normal
12,0,0,0,9.879688936671185,25.796852364557722,normal
15,1,1,0,23.868026764292303,38.57901196915977,normal
14,1,0,0,24.282456864277805,22.9104444493519,normal
13,2,0,0,27.547849099213543,25.907775479485295,normal
5,0,0,0,22.05760686087229,27.480226960637893,normal
15,2,0,0,18.246976214933312,29.925416179603694,normal
11,2,0,0,13.191322751782591,31.383531146764227,normal
12,1,0,1,20.48410618612428,35.94079194877983,normal
15,1,0,0,19.22681848389874,19.826082180655998,normal
12,1,0,0,15.286637502425002,26.2474518530344,normal
19,1,0,0,18.62790429475728,14.075650721617366,normal
14,0,0,0,29.337209511192608,25.060185473335828,normal
12,0,0,0,24.578696088535605,35.05607368398228,normal
17,1,0,0,21.24210644317843,44.51620131268287,normal
5,2,0,0,14.00355580304128,16.745626597299896,normal
14,2,0,0,8.245442534793796,20.855031048613185,normal
12,1,0,0,1.1310409059228874,20.352717456376382,normal
9,1,0,0,33.43795143782586,24.660963567309388,normal
9,0,0,1,9.484199042708752,25.20085395637539,normal
10,0,0,0,22.133963092020387,20.970483125114875,normal
9,1,0,0,27.529890580680863,31.63074467647582,normal
14,1,0,0,30.602614131315832,24.3818856280831,normal
9,0,0,0,20.101440007242665,39.04600251423507,normal
18,0,0,0,25.135792561311465,39.77900354461746,normal
10,0,0,0,32.4403630937512,39.34403102591021,normal
8,2,0,0,31.37682203139547,31.75323581023831,normal
12,1,1,0,17.926637913612964,26.40703443091767,normal
16,2,0,0,25.920650671070312,30.978067438765198,normal
10,1,0,0,34.83967608583009,6.69284170381788,normal
15,1,0,0,32.07849802739753,31.165684736010764,normal
10,1,0,0,26.445926804778765,35.83761453040031,normal
17,1,0,0,29.310941773468272,33.37329424119463,normal
4,2,0,1,24.106391893240627,40.435034501378055,normal
13,0,0,0,29.264584147160832,36.65012547687258,normal
10,1,0,0,22.958018671480446,21.793758990736272,normal
13,1,0,0,19.099853525222784,21.04436958837757,normal
3,2,0,0,20.291827093751014,15.122230063295543,normal
15,1,0,0,24.4444617957002,38.29596584637259,normal
9,1,0,0,6.099306357512946,19.96087989428163,normal
15,0,0,0,30.02800567242138,26.477066883046316,normal
9,1,1,0,18.018905556242082,42.853787604208286,normal
16,0,0,0,30.247769616290782,12.092503995494368,normal
21,1,0,0,35.47996738358813,44.575748270110736,normal
9,0,0,0,21.479299847894268,37.2237313899473,normal
13,2,0,0,13.680656512849644,24.38099339422534,normal
15,0,0,0,11.390455762688067,20.881100617430093,normal
12,1,0,0,19.53664623714074,29.803606261055098,normal
5,2,0,0,12.290116189177102,17.615469933917772,normal
21,1,0,0,32.564271996942,34.11453075324404,normal
10,1,0,0,28.57671308506054,31.10936101745718,normal
23,0,0,0,19.466456041939175,18.90160584454974,normal
12,0,0,0,12.184565978027907,30.44352860548126,normal
16,2,0,0,30.660444578290907,37.89466018111306,normal
10,0,0,0,20.90011705710612,21.761448449189395,normal
14,1,0,0,29.434811104466377,34.9149786745699,normal
15,0,0,0,24.872677326118424,43.76540241217787,normal
14,0,0,0,21.14808540756324,31.8017335752649,normal
13,1,0,0,23.801324545811646,23.425328017288965,normal
14,2,0,0,35.0583467955159,33.69039785357408,normal
12,3,0,0,15.521609751006476,27.13688701547344,normal
14,1,0,0,15.150390837040312,28.749296675524192,normal
15,1,0,0,17.048701445271284,48.37813613472032,normal
17,0,0,1,25.450147038519184,36.87420831135928,normal
13,1,0,0,25.154227225648157,34.05638817207793,normal
19,1,0,0,17.935783879114307,39.89129092263616,normal
